,k8_GEP1,k8_GEP2,k8_GEP3,k8_GEP4,k8_GEP5,k8_GEP6,k8_GEP7,k8_GEP8,k9_GEP1,k9_GEP2,k9_GEP3,k9_GEP4,k9_GEP5,k9_GEP6,k9_GEP7,k9_GEP8,k9_GEP9,k10_GEP1,k10_GEP2,k10_GEP3,k10_GEP4,k10_GEP5,k10_GEP6,k10_GEP7,k10_GEP8,k10_GEP9,k10_GEP10,k11_GEP1,k11_GEP2,k11_GEP3,k11_GEP4,k11_GEP5,k11_GEP6,k11_GEP7,k11_GEP8,k11_GEP9,k11_GEP10,k11_GEP11,k12_GEP1,k12_GEP2,k12_GEP3,k12_GEP4,k12_GEP5,k12_GEP6,k12_GEP7,k12_GEP8,k12_GEP9,k12_GEP10,k12_GEP11,k12_GEP12
k9_GEP5,-0.27919383926079333,-0.09299218500970592,-0.08504613729862229,-0.01056856217951583,0.9987975206556721,-0.1236975696328097,-0.05449025833905413,-0.10133939507603167,-0.2895056642286371,-0.09141579928716337,-0.08308899707581004,-0.008632229176045135,1.0,-0.10696228553090718,-0.05272782666935581,-0.0747524509722384,0.04477391475606532,-0.09247817868131801,-0.24052446372148706,-0.18667286123898372,-0.08420122527761131,-0.010672729871731925,0.9997512769754914,-0.054101929101273774,-0.0983448788136273,0.04805678078100937,-0.05958260759424952,-0.09234973800773655,-0.24097088264725613,-0.1866090195735938,-0.011033043450134613,-0.08248792052206015,0.9997281207999054,-0.05408455058794476,-0.09837718763372053,-0.06133354623917213,0.0477916368200202,-0.05960242079998201,-0.08252414804788218,-0.2308273028645259,-0.18827492417842745,-0.003376683540968605,0.9939532150294855,-0.10651622181426901,-0.07147772734234442,-0.05294495851392626,-0.06927068556209787,-0.07990039983218432,0.05807639362223893,-0.05014869502926638
k9_GEP6,-0.13002842823257674,-0.17622777222487737,-0.1355448963061385,-0.07816267085766959,-0.1055712735702783,0.9982751373012233,-0.0825691214705026,0.19500187068978517,-0.09845376547374611,-0.17769712432606374,-0.13630156795551937,-0.0796518511309828,-0.10696228553090718,1.0,-0.08442214603998086,0.21076878910045993,-0.052276738399348134,-0.17807957451186918,0.2098622738133323,-0.2538408713494631,-0.12938763044599863,-0.07665794510061584,-0.10451995681291522,-0.07940872679238088,0.9805300552915006,-0.05033689340428038,0.16233666053266405,-0.17737244165552749,0.2106359271315966,-0.25300061860754064,-0.07646530804117757,-0.12367151996117447,-0.10419432726911823,-0.07898253036212051,0.9804825045555412,-0.08926089854884477,-0.05026364652751901,0.16122479912338736,-0.17937596177792328,0.1405280294552719,-0.26680083378445574,-0.0795613070596139,-0.10574033193460079,0.9835393624414097,-0.11952161072532738,-0.07894498154889219,-0.09042944484942775,-0.11649250220963425,-0.04900354013137086,0.1784483282195675
k9_GEP7,-0.1644342709721776,-0.16569736412879,0.05053065245347223,-0.034715475509099855,-0.05498301327801265,-0.095596656706163,0.9990154994852731,-0.08687276297593186,-0.17007660874681899,-0.16304151291138205,0.05226347538481395,-0.031766714962823184,-0.05272782666935581,-0.08442214603998086,1.0,-0.06952067086287052,-0.007437969550643087,-0.1639619422910091,-0.1798500397560207,-0.06778199285526798,0.05122198370076855,-0.03396619129221238,-0.05393629069455182,0.9996317398117847,-0.07260069350455266,-0.006846120024933116,-0.05313772419888149,-0.16345241554978424,-0.17963951221000277,-0.06846540038559414,-0.033684194872465385,0.051011982230495974,-0.05399113956279122,0.999606109579299,-0.07258684781280003,0.022971905181786056,-0.006828720570357721,-0.05323328070441682,-0.16834402450475672,-0.17886292793089714,-0.06193636817318688,-0.039946804594558405,-0.05438005809110227,-0.08536827647923435,0.05942733791028002,0.9986297230478663,0.020605003638469562,0.05210645092176155,-0.008987872831890918,-0.044767058288156684
k9_GEP8,-0.15349963740042122,-0.10568989799683058,-0.07973931847006321,-0.033642003810543275,-0.07271027511018661,0.22579655092539636,-0.06578097375800351,0.971808201309995,-0.08494687804530528,-0.10750711679105168,-0.08439644985904633,-0.037738872513232255,-0.0747524509722384,0.21076878910045993,-0.06952067086287052,1.0,-0.027665826266087924,-0.10918812038338516,0.222126611100474,-0.2427715492769338,-0.07810407637433608,-0.03691311145636912,-0.07329716875397776,-0.06484571954589474,0.16914176649871654,-0.024807612785515607,0.9735829788584511,-0.10870520508656718,0.22263055746251406,-0.24259181028052942,-0.036486293334251,-0.07054848098640054,-0.07298893763475466,-0.06468684125517431,0.16931078968839045,-0.06535472935402191,-0.02489292589775858,0.9735896897175841,-0.11434433663030188,0.3135904130681223,-0.22372742585197636,-0.044994529046040885,-0.06825465585465282,0.15053284545906365,-0.07459590238356009,-0.07094553225047856,-0.07024409337067229,-0.06458302015389447,-0.028568469177052896,0.9504367358753848
k9_GEP9,-0.10495102696531346,0.04377045133352823,-0.02602135283968754,0.10846916304070874,0.09322358346578685,-0.06242807948277782,0.03575611999680279,-0.02303112565789386,-0.1322609374923676,-0.0015912801303524622,-0.040277578430367424,0.03387374922441275,0.04477391475606532,-0.052276738399348134,-0.007437969550643087,-0.027665826266087924,1.0,-0.017267586188240345,-0.10451984859200339,-0.09614369018190626,-0.046519383046610185,0.0131435469918825,0.02362599358088484,-0.02151978764200173,-0.0502711532632495,0.9993895599430117,-0.025309182803430735,-0.01701020088698739,-0.10439887965269341,-0.09602621404514546,0.013379843030511046,-0.04505565385337928,0.023778043846332475,-0.021444792409725813,-0.05023793177005556,-0.034551892450094074,0.9993851645064994,-0.0252848794979152,-0.02166844378657364,-0.10135937874997256,-0.08822451622871104,0.008135238962552572,0.011993400911188036,-0.05848994824280609,-0.04716125875872638,-0.023949207737129254,-0.03889235134984729,-0.035181312354961136,0.9984213886767422,-0.020373071393975605
k10_GEP1,-0.46925207137572744,0.9980665895582411,-0.2657394804376714,-0.02717092751334625,-0.09665208401134466,-0.20307303215526862,-0.1689125999295441,-0.1461913864366247,-0.48562664511366005,0.9998484158315499,-0.2615804855456717,-0.020943784064268715,-0.09247817868131801,-0.17807957451186918,-0.1639619422910091,-0.10918812038338516,-0.017267586188240345,1.0,-0.3595331406206143,-0.3506384557981599,-0.26226657123751623,-0.021439222301456045,-0.0918770490819803,-0.16445812756388517,-0.17102506390583463,-0.01656121946848815,-0.09074142225671238,0.999998721023978,-0.35875271997588676,-0.35011979842202157,-0.020641168997390387,-0.2518851740676012,-0.09071200128939498,-0.1638938216158444,-0.1709936680859307,-0.19932437639757863,-0.01639501786181671,-0.09088916986791469,0.9996328920327661,-0.34494898752183323,-0.3455844405222248,-0.03298423884848984,-0.12362633023883518,-0.19414166629829552,-0.23568875981453477,-0.16998046521865204,-0.21142297522599557,-0.23689076121406236,-0.021384719843051105,-0.07425565677496215
k10_GEP2,0.5841806702310521,-0.3592868323998122,-0.2844671776918981,-0.23700721905200464,-0.2421463467490871,0.2482879142545741,-0.18136778354993838,0.3965145446209465,0.6480928153348359,-0.35860126743997556,-0.2866652599079222,-0.23412196713299283,-0.24052446372148706,0.2098622738133323,-0.1798500397560207,0.222126611100474,-0.10451984859200339,-0.3595331406206143,1.0,-0.02095051782909612,-0.2645261100809305,-0.2259297592309512,-0.23366659249130975,-0.16205689554786432,0.05942074786630302,-0.09721621067833097,0.04140333798029409,-0.35955309512933004,0.9998354722023536,-0.018486214360858618,-0.22605783811990268,-0.2562443566600075,-0.23312257265006775,-0.16116625438413953,0.05951775181837715,-0.1709509987121904,-0.09708448630876577,0.04175933937784838,-0.3562373809233329,0.98481375163486,-0.031063179581813198,-0.21562168318468874,-0.2133765350075615,0.11121782376912001,-0.24563384149833095,-0.15226959729907266,-0.16797473499531954,-0.24005807059726497,-0.0938677175640331,-0.018136232197969605
k10_GEP3,0.7880477542333846,-0.3623050204378936,-0.09580776176862546,-0.18202871455522288,-0.18994852004481613,-0.22238559685719164,-0.06931278316746323,-0.2736446709618452,0.7441000546365589,-0.3576085620330155,-0.09740936903163969,-0.17728889014612145,-0.18667286123898372,-0.2538408713494631,-0.06778199285526798,-0.2427715492769338,-0.09614369018190626,-0.3506384557981599,-0.02095051782909612,1.0,-0.11916331941403394,-0.17729465791137955,-0.18771272562381633,-0.08094800832403763,-0.13552810570178536,-0.10924149987887066,-0.11665168025460926,-0.35099143761545215,-0.021663844227614557,0.9998911027247419,-0.17770389930156974,-0.11096580820602057,-0.1875456582619481,-0.080607182142799,-0.1351016321034177,-0.10126861277457323,-0.10936280520057114,-0.11642349283542462,-0.34636685985474913,-0.026328897746158434,0.987982436334645,-0.1626301017201226,-0.16300415549016564,-0.11568308054352812,-0.0822663321492787,-0.07164723303553745,-0.098376514786563,-0.12309526100925955,-0.1096656910899766,-0.11289072107011798
k10_GEP4,-0.2651230839883821,-0.2640745344939971,0.9992001125326193,-0.06969944064389151,-0.08489590048585999,-0.14492365679168362,0.050219548423775365,-0.10666986530320503,-0.2710043044029839,-0.2622760409024908,0.9994629792809147,-0.06909906396192818,-0.08420122527761131,-0.12938763044599863,0.05122198370076855,-0.07810407637433608,-0.046519383046610185,-0.26226657123751623,-0.2645261100809305,-0.11916331941403394,1.0,-0.07065000585728744,-0.08481544010766623,0.05012363982304637,-0.11471944022514892,-0.0463398111587114,-0.05714946199666571,-0.2632076776436514,-0.26507238465581834,-0.12293598477417875,-0.07137103106203141,0.9594258047346955,-0.08778758969367391,0.047527019570806836,-0.11545598505081878,0.7388514425478393,-0.04636126373586518,-0.05686294797279731,-0.26930229300190667,-0.2580511706386568,-0.0979990242569141,-0.07969833426302429,-0.07359085897487058,-0.13270966646758395,0.8783876139049779,0.03960260678677616,0.7631132852231776,0.9117410311219075,-0.048535164680835886,-0.04806872613396036
k10_GEP5,-0.26860121265724635,-0.02216410318997768,-0.07206113615853617,0.9952988977734057,-0.012767058718946376,-0.0908080925946395,-0.03635990451554175,-0.06640307620960961,-0.2766709647817213,-0.01992743566703705,-0.06977765380520543,0.9997380254650875,-0.010672729871731925,-0.07665794510061584,-0.03396619129221238,-0.03691311145636912,0.0131435469918825,-0.021439222301456045,-0.2259297592309512,-0.17729465791137955,-0.07065000585728744,1.0,-0.012615351855787531,-0.03541924783928223,-0.06686831922318394,0.016852806156779417,-0.020012761537956655,-0.020947401310934585,-0.22547809917864228,-0.17722129686826846,0.9999971187948414,-0.06710404307671955,-0.012089470044676991,-0.03529016257146452,-0.06682684367607786,-0.05646019860915931,0.016763288381251042,-0.020113465392748803,-0.02627561450963855,-0.22141742793091906,-0.18436432783191248,0.9991142655496701,-0.0298566308524484,-0.08169450599210747,-0.06422148575186917,-0.038516774704096216,-0.058991260700572215,-0.06209510851535413,0.01606220116236811,-0.008287548897269657
