"","x"
"561","ADGRG3"
"562","TNNT3"
"563","EGFL6"
"564","SLC47A2"
"565","CD7"
"566","SAMSN1"
"567","PCSK1"
"568","TENT5C"
"569","MUC4"
"570","AIF1"
"571","FAM43A"
"572","SLC8A1"
"573","EGFLAM"
"574","VASH1"
"575","ACP5"
"576","POU2AF1"
"577","PRSS23"
"578","ANPEP"
"579","CD34"
"580","DUSP5"
"581","GPNMB"
"582","MLPH"
"583","FMN1"
"584","ADCY4"
"585","ITGA8"
"586","AOAH"
"587","KCTD4"
"588","CCL13"
"589","CD52"
"590","COL5A3"
"591","TLR2"
"592","ALOX5"
"593","BCAM"
"594","FRZB"
"595","PLIN5"
"596","TXNDC11"
"597","SORBS1"
"598","BMP2"
"599","ENPEP"
"600","PPIF"
"601","CSF2RB"
"602","LAIR1"
"603","PLAT"
"604","SERPINB12"
"605","SPRY4"
"606","THEMIS"
"607","ASPN"
"608","SERPINB9"
"609","COL11A1"
"610","IGF1"
"611","FBLN5"
"612","TOP2A"
"613","PGM5"
"614","LMOD1"
"615","HIST1H2BG"
"616","IGFBP6"
"617","IGFN1"
"618","NABP1"
"619","RAB44"
"620","EOMES"
"621","SOX10"
"622","LIMS2"
"623","CTSS"
"624","CCR5"
"625","TMEM176B"
"626","HILPDA"
"627","GPR183"
"628","CD80"
"629","PECAM1"
"630","FPR1"
"631","CD3E"
"632","ADAM19"
"633","TBC1D10C"
"634","CRABP1"
"635","OBSCN"
"636","SPRR2B"
"637","PLA2G4E"
"638","HIST2H2BE"
"639","FFAR2"
"640","HOPX"
"641","SCG2"
"642","FASLG"
"643","DTHD1"
"644","SLC12A3"
"645","CD4"
"646","SEMA7A"
"647","CSF1"
"648","ZBP1"
"649","CSPG4"
"650","INSR"
"651","PFKFB3"
"652","GPR15"
"653","ITPKC"
"654","ERRFI1"
"655","PREX2"
"656","PAPPA"
"657","FCMR"
"658","TYROBP"
"659","OASL"
"660","RSAD2"
"661","SPN"
"662","PLAC8"
"663","S1PR1"
"664","ADAP2"
"665","ITGAL"
"666","MCEMP1"
"667","GNG11"
"668","HECW2"
"669","TNFSF13"
"670","TPPP3"
"671","DMXL2"
"672","EMILIN2"
"673","IL10"
"674","COL18A1"
"675","ITK"
"676","NID2"
"677","CALCRL"
"678","PRKG1"
"679","CLEC9A"
"680","ISLR"
"681","LAMB3"
"682","DKK2"
"683","IFRD1"
"684","DYSF"
"685","EMCN"
"686","HBEGF"
"687","MKI67"
"688","KLF2"
"689","ROBO4"
"690","ITGA9"
"691","APLN"
"692","RGL1"
"693","ABCC9"
"694","TNFRSF1B"
"695","TPSD1"
"696","FST"
"697","ZBTB32"
"698","THSD7A"
"699","FUT7"
"700","ALPL"
"701","BNIPL"
"702","RGCC"
"703","ADRB2"
"704","CCL11"
"705","CENPF"
"706","ZC3H12D"
"707","C5AR1"
"708","MMP17"
"709","ABCA6"
"710","RASGRP2"
"711","FHL1"
"712","STC2"
"713","TMEM45A"
"714","NLRP10"
"715","PLXNA4"
"716","LMO2"
"717","ADAMTSL4"
"718","HSPA1A"
"719","CYP26B1"
"720","SRPX"
"721","KCNK5"
"722","NR2F2"
"723","LGI4"
"724","CD300A"
"725","FAM20A"
"726","GBP5"
"727","ACSBG1"
"728","ITGA1"
"729","RGS16"
"730","RTKN2"
"731","CCR8"
"732","CD55"
"733","RIPOR2"
"734","RHOJ"
"735","SLA"
"736","FBXO32"
"737","TIE1"
"738","HAS3"
"739","CES1"
"740","EBI3"
"741","SCD"
"742","HAPLN1"
"743","SLAMF1"
"744","TMEM255B"
"745","CA2"
"746","RAPGEF5"
"747","ITGBL1"
"748","HIST1H4C"
"749","SOX18"
"750","EDN2"
"751","CRLF1"
"752","ACKR2"
"753","SOD3"
"754","CLDN1"
"755","ISM1"
"756","NUAK1"
"757","ARHGEF15"
"758","NAMPT"
"759","NELL2"
"760","CFB"
"761","RRM2"
"762","C2"
"763","CFP"
"764","PIK3R6"
"765","MUC1"
"766","FLT3"
"767","GBP1"
"768","CD247"
"769","TNFAIP3"
"770","CSF2"
"771","GIMAP4"
"772","SLC7A5"
"773","TMEM100"
"774","SLC2A3"
"775","SERPINB13"
"776","ITGB2"
"777","IER3"
"778","PTPN7"
"779","ADAMTSL2"
"780","KCNN1"
"781","TNS2"
"782","ADRA2A"
"783","MAMDC2"
"784","DAPP1"
"785","THRSP"
"786","PROM1"
"787","SELP"
"788","SPRY1"
"789","THBD"
"790","ST8SIA1"
"791","CD27"
"792","PRUNE2"
"793","TNFAIP2"
"794","TMC8"
"795","MAP3K8"
"796","TBX1"
"797","NDRG2"
"798","IL21R"
"799","CASQ1"
"800","NR4A2"
"801","SYNM"
"802","FMO2"
"803","TNS3"
"804","GJC1"
"805","SVEP1"
"806","STEAP4"
"807","DKK3"
"808","PLK1"
"809","LAMP5"
"810","CAVIN2"
"811","MRVI1"
"812","LDB2"
"813","HAVCR2"
"814","SMOC2"
"815","KIAA1755"
"816","KALRN"
"817","IL26"
"818","TMEM184A"
"819","OLFML2A"
"820","PTGDR"
"821","ARHGAP29"
"822","CYP4B1"
"823","ELMOD1"
"824","ITGA4"
"825","ADGRE2"
"826","KCNMA1"
"827","IQGAP3"
"828","ZBTB16"
"829","VSIG4"
"830","ADAMDEC1"
"831","GIMAP7"
"832","PADI2"
"833","PCDH12"
"834","ABCA1"
"835","PGF"
"836","PADI4"
"837","ITM2A"
"838","MNDA"
"839","PDGFRA"
"840","MYO1G"
"841","MX1"
"842","MME"
"843","LRRK2"
"844","CD37"
"845","CCND2"
"846","IDO2"
"847","CRIM1"
"848","CAV1"
"849","NPR1"
"850","TNFSF14"
"851","SEPTIN5"
"852","IL9R"
"853","SNX22"
"854","EPHB6"
"855","TP53INP1"
"856","FCRL3"
"857","PDE2A"
"858","COL9A3"
"859","TRPC6"
"860","SNCG"
"861","TNF"
"862","PLK3"
"863","SYNE1"
"864","CD1B"
"865","DOK2"
"866","FCGR2A"
"867","GRHL3"
"868","SCO2"
"869","IL17REL"
"870","HAS2"
"871","MSLN"
"872","DNM1"
"873","NFATC2"
"874","TFPI"
"875","HOXD9"
"876","PRG2"
"877","INPP4B"
"878","SDC3"
"879","SLC38A11"
"880","ADAM8"
"881","COL8A1"
"882","OSR2"
"883","KYNU"
"884","EXOC3L2"
"885","GGT5"
"886","WNT10A"
"887","C1QTNF1"
"888","HSPA12B"
"889","JAM2"
"890","NFE2"
"891","NUSAP1"
"892","SYTL2"
"893","COL13A1"
"894","GBP6"
"895","H1F0"
"896","IFI6"
"897","ASPM"
"898","CYP7B1"
"899","CAPN3"
"900","HS3ST1"
"901","PARP15"
"902","PGGHG"
"903","GPR34"
"904","LMCD1"
"905","PAPLN"
"906","GCSAML"
"907","PPP1R15A"
"908","SOX17"
"909","CD19"
"910","WHRN"
"911","GADD45A"
"912","SERPINB7"
"913","CD28"
"914","MOCS1"
"915","NOSTRIN"
"916","HJURP"
"917","CTTNBP2"
"918","PDPN"
"919","SPRR2A"
"920","SOX5"
"921","PDE3B"
"922","NFIB"
"923","ITGA2"
"924","EDNRB"
"925","SORL1"
"926","GAS1"
"927","SLC7A11"
"928","CD40"
"929","ITGB6"
"930","CCDC141"
"931","KRT19"
"932","RORA"
"933","EPHA7"
"934","CENPM"
"935","KCTD12"
"936","ADAM28"
"937","ANLN"
"938","PAX5"
"939","CDK1"
"940","ARHGEF17"
"941","STEAP2"
"942","DOCK5"
"943","NRN1"
"944","CEACAM1"
"945","HCK"
"946","DIPK2B"
"947","SCN7A"
"948","ADGRF5"
"949","RAPGEF3"
"950","XCL2"
"951","SH2D1A"
"952","TINAGL1"
"953","ASTL"
"954","ACAN"
"955","AIF1L"
"956","COL23A1"
"957","TSC22D2"
"958","SEMA6B"
"959","TNFRSF11B"
"960","IFI44"
"961","HS3ST2"
"962","MMP28"
"963","IFIT1"
"964","ITGA11"
"965","LOXHD1"
"966","NES"
"967","IFFO2"
"968","ITGAM"
"969","PKDCC"
"970","SEC11C"
"971","SHE"
"972","PCOLCE2"
"973","SLC37A2"
"974","PLCB4"
"975","SNCA"
"976","ID3"
"977","ADAMTS16"
"978","GABRE"
"979","MAFB"
"980","DOCK4"
"981","SOCS3"
"982","MERTK"
"983","CGN"
"984","PALD1"
"985","CYP4F22"
"986","CCR2"
"987","MROH6"
"988","HIST3H2BB"
"989","PIEZO2"
"990","TSC22D3"
"991","LCP2"
"992","LRRC32"
"993","PCSK5"
"994","PDGFA"
"995","SIGLEC8"
"996","HEYL"
"997","TGM2"
"998","LIPG"
"999","TPX2"
"1000","FYB1"
"1001","WARS"
"1002","SMTN"
"1003","RND3"
"1004","DENND3"
"1005","KRT8"
"1006","RGS4"
"1007","CLDN17"
"1008","ENC1"
"1009","CLEC7A"
"1010","PPP1R14A"
"1011","COLEC12"
"1012","MEFV"
"1013","BTK"
"1014","IRF7"
"1015","ADAMTS12"
"1016","NLRP3"
"1017","ADIRF"
"1018","NDUFA4L2"
"1019","TFCP2L1"
"1020","ACHE"
"1021","ITGAD"
"1022","CACNA1H"
"1023","PTGS1"
"1024","WNT2"
"1025","DIPK1B"
"1026","SPOCD1"
"1027","LRG1"
"1028","TLR10"
"1029","ITGB7"
"1030","SARDH"
"1031","BOC"
"1032","PDK1"
"1033","FCGR3B"
"1034","KIFC1"
"1035","IGSF21"
"1036","NTN1"
"1037","PCDH18"
"1038","CENPE"
"1039","IL17C"
"1040","CDC42EP2"
"1041","CDH20"
"1042","ARHGEF25"
"1043","ARHGAP26"
"1044","JSRP1"
"1045","MEOX2"
"1046","RELT"
"1047","PLA2G4B"
"1048","FCER2"
"1049","LHX6"
"1050","LHFPL2"
"1051","ENTPD1"
"1052","ADCY5"
"1053","SETBP1"
"1054","CXCL16"
"1055","ATP8A1"
"1056","MX2"
"1057","COL27A1"
"1058","LAPTM5"
"1059","CKB"
"1060","FAM214A"
"1061","PDZRN3"
"1062","CITED2"
"1063","SAMD5"
"1064","SLAMF7"
"1065","TSPAN11"
"1066","LIPN"
"1067","PLAAT4"
"1068","PDK4"
"1069","AOX1"
"1070","TEK"
"1071","KCNE3"
"1072","LAT2"
"1073","KCP"
"1074","KCNH2"
"1075","ADAMTS6"
"1076","EBF1"
"1077","ADCYAP1R1"
"1078","CTSD"
"1079","PMAIP1"
"1080","ATP2A3"
"1081","BCL6B"
"1082","PIK3AP1"
"1083","TUBB2B"
"1084","CCL3L1"
"1085","GRPEL2"
"1086","ABI3"
"1087","COTL1"
"1088","IKZF2"
"1089","HSH2D"
"1090","PLXNC1"
"1091","ITIH3"
"1092","SOCS1"
"1093","CYTL1"
"1094","CRTAM"
"1095","ALOX12"
"1096","PLA2R1"
"1097","LBH"
"1098","TICRR"
"1099","ARHGEF10L"
"1100","SOD2"
"1101","CDH13"
"1102","PLCB2"
"1103","CLIC5"
"1104","FCGR2B"
"1105","TAGAP"
"1106","ACSL1"
"1107","ZNF521"
"1108","MEOX1"
"1109","CCSER1"
"1110","SEL1L3"
"1111","CYGB"
"1112","HIVEP3"
"1113","KRT73"
"1114","P2RY13"
"1115","TMEM176A"
"1116","CD300LF"
"1117","FPR2"
"1118","PTGFR"
"1119","EFNA1"
"1120","IGFBP2"
"1121","CCR6"
"1122","RBPMS"
"1123","GRASP"
"1124","RGS3"
"1125","KCNN4"
"1126","MDM2"
"1127","MS4A14"
"1128","SHANK3"
"1129","CYTH4"
"1130","PIK3R3"
"1131","C5AR2"
"1132","ABCC4"
"1133","HRH2"
"1134","NTN4"
"1135","MPL"
"1136","PHLDB2"
"1137","SOX4"
"1138","DUSP4"
"1139","DAPK1"
"1140","MYEOV"
"1141","OCA2"
"1142","GADD45G"
"1143","PTTG1"
"1144","NCAPG"
"1145","MYEF2"
"1146","F5"
"1147","PARVG"
"1148","PCSK6"
"1149","SFMBT2"
"1150","S100A3"
"1151","DLC1"
"1152","GRK3"
"1153","SLAMF8"
"1154","MATN2"
"1155","PARM1"
"1156","LAMA2"
"1157","TACC3"
"1158","PTPRE"
"1159","NFKBID"
"1160","C3orf52"
"1161","GEM"
"1162","SLC20A1"
"1163","TBX2"
"1164","SNED1"
"1165","LHFPL6"
"1166","GPR84"
"1167","ATP8B4"
"1168","LST1"
"1169","CD1E"
"1170","DGAT2"
"1171","AIM2"
"1172","CD79B"
"1173","PCDH7"
"1174","ARHGEF4"
"1175","SLC7A7"
"1176","CIT"
"1177","MPP1"
"1178","NCF4"
"1179","MCOLN2"
"1180","MILR1"
"1181","DTNA"
"1182","CA9"
"1183","DUSP6"
"1184","ADA2"
"1185","GPR157"
"1186","CD84"
"1187","RUNX2"
"1188","NCOA7"
"1189","DNAJA4"
"1190","PAG1"
"1191","THEMIS2"
"1192","PEAR1"
"1193","CYSTM1"
"1194","TYMS"
"1195","ELOVL7"
"1196","NTRK2"
"1197","LINGO1"
"1198","SCARF1"
"1199","OLFM2"
"1200","LILRA5"
"1201","SULT2B1"
"1202","MGLL"
"1203","NEURL1B"
"1204","MITF"
"1205","ARHGAP18"
"1206","ALDH1A1"
"1207","ARRB2"
"1208","FGF18"
"1209","FSCN1"
"1210","VSTM4"
"1211","HDAC9"
"1212","ABCC3"
"1213","DOCK6"
"1214","UCP2"
"1215","AMPD3"
"1216","CD200"
"1217","GRB10"
"1218","ADTRP"
"1219","JUN"
"1220","IL10RA"
"1221","DLL1"
"1222","IGSF6"
"1223","IL18R1"
"1224","HK2"
"1225","INHBB"
"1226","GLIS3"
"1227","TREML1"
"1228","PALM2-AKAP2"
"1229","CD274"
"1230","HES4"
"1231","NPL"
"1232","HMGB2"
"1233","KPNA2"
"1234","MYBL2"
"1235","RCAN1"
"1236","SAMD9L"
"1237","TFEC"
"1238","LILRB1"
"1239","CDC20"
"1240","PLA1A"
"1241","TRIB2"
"1242","ARHGAP22"
"1243","MECOM"
"1244","PTGER4"
"1245","P2RX5"
"1246","CBFA2T3"
"1247","GLIPR2"
"1248","LIFR"
"1249","RASGRF2"
"1250","HAPLN3"
"1251","C16orf54"
"1252","LCP1"
"1253","MEIS1"
"1254","RASSF2"
"1255","LAMC3"
"1256","OLFM1"
"1257","IZUMO4"
"1258","TNFRSF8"
"1259","ADAMTS10"
"1260","PAMR1"
"1261","CD38"
"1262","HOXD4"
"1263","NRARP"
"1264","PLCG2"
"1265","LAX1"
"1266","PTPRM"
"1267","ZNF366"
