sample,K,gep,label,label_kind,ROGUE,n_cells
GSM4138150,30,1,Ambiguous/Mixed,ambiguous,0.9085645650050305,184
GSM4138150,30,2,Ambiguous/Mixed,ambiguous,0.9661211397765316,31
GSM4138151,30,6,Ambiguous/Mixed,ambiguous,0.9809928614005655,25
GSM4138152,30,1,Ambiguous/Mixed,ambiguous,0.8609069603241107,458
GSM4138152,30,2,Ambiguous/Mixed,ambiguous,0.9433804915661262,62
GSM4138152,30,6,Ambiguous/Mixed,ambiguous,0.9737413463594793,18
GSM4138153,30,1,Ambiguous/Mixed,ambiguous,0.8687129133607969,31
GSM4138153,30,6,Ambiguous/Mixed,ambiguous,0.785162575102454,33
GSM4138154,30,1,Ambiguous/Mixed,ambiguous,0.8358518442783154,360
GSM4138154,30,2,Ambiguous/Mixed,ambiguous,0.949428022627207,54
GSM4138155,30,1,Ambiguous/Mixed,ambiguous,0.5999337340103892,561
GSM4138155,30,2,Ambiguous/Mixed,ambiguous,0.5765087817310708,194
GSM4138155,30,5,Ambiguous/Mixed,ambiguous,0.9495622987486712,17
GSM4138155,30,6,Ambiguous/Mixed,ambiguous,0.7637820553067247,82
GSM4138155,30,8,Ambiguous/Mixed,ambiguous,0.9165237739084864,28
GSM4138156,30,1,Ambiguous/Mixed,ambiguous,0.8954166890460717,900
GSM4138156,30,2,Ambiguous/Mixed,ambiguous,0.9424774083766477,147
GSM4138156,30,6,Ambiguous/Mixed,ambiguous,0.9473260221831344,23
GSM4138157,30,1,Ambiguous/Mixed,ambiguous,0.7549614536685949,110
GSM4138157,30,2,Ambiguous/Mixed,ambiguous,0.9311495397405145,36
GSM4138157,30,6,Ambiguous/Mixed,ambiguous,0.8888728150161859,43
GSM4138158,30,1,Ambiguous/Mixed,ambiguous,0.8949280489399574,271
GSM4138158,30,2,Ambiguous/Mixed,ambiguous,0.9761486221729306,76
GSM4138159,30,1,Ambiguous/Mixed,ambiguous,0.7589901739261671,109
GSM4138159,30,2,Ambiguous/Mixed,ambiguous,0.8213498775781214,47
GSM4138159,30,6,Ambiguous/Mixed,ambiguous,0.9515486156391769,20
GSM4138160,30,1,Ambiguous/Mixed,ambiguous,0.8980741101496496,484
GSM4138160,30,2,Ambiguous/Mixed,ambiguous,0.9551471120295827,93
GSM4138161,30,1,Ambiguous/Mixed,ambiguous,0.6725875630916478,298
GSM4138161,30,15,Ambiguous/Mixed,ambiguous,0.93894708311312,23
GSM4138161,30,2,Ambiguous/Mixed,ambiguous,0.7073029013786047,126
GSM4138161,30,6,Ambiguous/Mixed,ambiguous,0.7955301257213545,108
GSM4138162,30,1,Ambiguous/Mixed,ambiguous,0.8931237225640689,482
GSM4138162,30,2,Ambiguous/Mixed,ambiguous,0.959788063842692,82
GSM4138163,30,1,Ambiguous/Mixed,ambiguous,0.9086641866969929,424
GSM4138163,30,2,Ambiguous/Mixed,ambiguous,0.9571003239123812,69
GSM4138164,30,1,Ambiguous/Mixed,ambiguous,0.844491561032509,151
GSM4138164,30,2,Ambiguous/Mixed,ambiguous,0.9875705270608255,16
GSM4138165,30,1,Ambiguous/Mixed,ambiguous,0.8938081617034616,423
GSM4138165,30,2,Ambiguous/Mixed,ambiguous,0.8947303936990147,74
GSM4138166,30,1,Ambiguous/Mixed,ambiguous,0.8884944917438163,453
GSM4138166,30,2,Ambiguous/Mixed,ambiguous,0.9198610822292582,85
GSM4138167,30,1,Ambiguous/Mixed,ambiguous,0.8856906145753307,331
GSM4138167,30,2,Ambiguous/Mixed,ambiguous,0.9672223892338353,62
GSM4138171,30,6,Ambiguous/Mixed,ambiguous,1.0,17
GSM4138172,30,1,Ambiguous/Mixed,ambiguous,0.930074997282765,19
GSM4138172,30,6,Ambiguous/Mixed,ambiguous,0.9509281826734818,15
